lsoa,Rent_per_m,green_space,safety,schools
E01000161,941.8,0.032128000000000004,0.967752286,0.79
E01000162,1084.75,0.22227666675,0.972565378,0.81
E01000163,633.3333333333334,0.2606000001666667,0.975453233,0.6999999999999998
E01000164,814.6,0.235632,0.937429809,0.74
E01000165,959.0,0.2594186668,0.9809080700000001,0.76
E01000166,971.0,0.7531186672000001,0.989411198,0.8100000000000002
E01000167,908.0,0.6819750005,0.985881598,0.82
E01000168,1471.4,0.5241093334,0.993903417,0.8400000000000001
E01000169,866.0,0.6534700003333334,0.995828654,0.83
E01000170,1068.0,0.4466266668,0.974330178,0.8
E01000171,641.6666666666666,0.39784555583333336,0.9570030480000001,0.85
E01000172,1174.4,0.30458799999999997,0.9895716350000001,0.82
E01000173,1130.8,0.2700066666,0.990373817,0.8400000000000001
E01000174,733.8,0.2124333332,0.977218033,0.82
E01000175,1031.8,0.31954000000000005,0.978661961,0.8
E01000176,1028.6666666666667,0.3483044446666667,0.977538906,0.7600000000000001
E01000177,1637.2,0.2553559998,0.9770575970000002,0.8
E01000178,1477.2,0.0902466668,0.983956361,0.82
E01000179,1035.3333333333333,0.3617233335,0.988127707,0.77
E01000180,1283.5,0.16344888883333333,0.985560725,0.7799999999999999
E01000181,1929.6,0.011136000000000002,0.977699342,0.8100000000000002
E01000182,1586.4,0.152196,0.983956361,0.8400000000000001
E01000183,1363.0,0.213936,0.9879672710000001,0.8400000000000001
E01000184,761.25,0.39744833325,0.986202471,0.75
E01000185,811.0,0.5091013334,0.9857211620000002,0.73
E01000186,1487.75,0.038,0.989732071,0.83
E01000187,1118.6,0.0,0.989411198,0.79
E01000188,1876.25,0.15798166675,0.986523343,0.84
E01000189,973.8,0.3248946666,0.9605326489999999,0.69
E01000190,1405.5,0.42036333324999997,0.988929889,0.81
E01000191,934.75,0.15039166674999999,0.987967271,0.83
E01000192,1279.8,0.0,0.955398684,0.75
E01000193,1286.5,0.2032033335,0.929087117,0.76
E01000194,986.25,0.22468500025,0.958126103,0.73
E01000195,566.8,0.013664,0.964864431,0.76
E01000196,1219.5,0.17447666650000002,0.9675918500000001,0.7600000000000001
E01000197,1277.8,0.3463373334,0.9847585430000001,0.82
E01000198,1247.2,0.3311839998,0.980426761,0.8400000000000001
E01000199,2220.6,0.2739613334,0.9876463980000001,0.8100000000000002
E01000200,1680.1666666666667,0.125777778,0.9839563610000001,0.86
E01000201,2969.5,0.33731,0.978180651,0.87
E01000202,2201.0,0.12190400019999999,0.979624579,0.8699999999999999
E01000203,1075.4,0.46345466679999997,0.982351997,0.8
E01000204,2531.2,0.08708933360000001,0.982993743,0.8400000000000001
