lsoa,avg_lat,avg_long
E01000245,51.587212896666664,-0.220642313
E01000246,51.653738564,-0.1871880368
E01000247,51.65441554666666,-0.17960503933333336
E01000248,51.655265106,-0.2069621064
E01000249,51.656360588,-0.21275955519999998
E01000250,51.655052425,-0.19757843066666667
E01000251,51.65049328333333,-0.17891889633333333
E01000252,51.649764938333334,-0.18511564583333331
E01000253,51.64904731399999,-0.2298144174
E01000254,51.660760575999994,-0.2029278416
E01000255,51.611979465000005,-0.22462085325
E01000256,51.608933623999995,-0.2340331134
E01000257,51.608641346,-0.209984106
E01000258,51.614917126,-0.2420628286
E01000259,51.60686100428571,-0.21471660557142855
E01000260,51.605297801999995,-0.2362248596
E01000261,51.621157866,-0.2384703798
E01000262,51.61297564166667,-0.21176326116666666
E01000263,51.621057805,-0.24680226075
E01000264,51.618224940000005,-0.2504001078
E01000265,51.624111191666664,-0.15748614433333333
E01000266,51.6242000725,-0.16411626
E01000267,51.641056854,-0.1719407478
E01000268,51.647404838,-0.18001106620000001
E01000269,51.64327426,-0.1835802805
E01000270,51.645196564,-0.1756188856
E01000271,51.638659598000004,-0.1773842862
E01000272,51.63404798,-0.1670783545
E01000273,51.631341320000004,-0.170539673
E01000274,51.627933383999995,-0.1607651606
E01000275,51.620735462000006,-0.1859321686
E01000276,51.618691874999996,-0.19452931
E01000277,51.618271990000004,-0.182857358
E01000278,51.6141327225,-0.194818541
E01000279,51.6323927825,-0.20106603125
E01000280,51.6309037975,-0.18609730225
E01000281,51.6280371825,-0.17230522425
E01000282,51.629425172000005,-0.1803261172
E01000283,51.62519409,-0.1890339465
E01000284,51.62429864,-0.17717475266666668
E01000285,51.645564376,-0.21003333899999999
E01000286,51.647813115999995,-0.2183572768
E01000287,51.644338436,-0.21456216980000004
E01000288,51.64413329400001,-0.1894214066
E01000289,51.644652524,-0.1962804684
E01000290,51.643478142000006,-0.23144787140000003
E01000291,51.644181722,-0.20193597940000002
E01000292,51.64919626,-0.20407932139999999
E01000293,51.64907533,-0.1985333822
E01000294,51.650319921999994,-0.20935451160000002
E01000295,51.60172687399999,-0.18833606139999998
E01000296,51.604451276,-0.1935706878
E01000297,51.5993338675,-0.18129111075
E01000298,51.604818606,-0.1859024822
E01000299,51.613932438333336,-0.17845681883333334
E01000300,51.614475545999994,-0.1835241954
E01000301,51.6111776825,-0.1883281155
E01000302,51.610330698333335,-0.1829818915
E01000303,51.6084371575,-0.19284204425
E01000304,51.605755822000006,-0.197706899
E01000305,51.575551322500004,-0.23892081475
